Từ	Nghĩa
Mkhư̆ mgang (đgt) 	Ngăn chặn. Mkhư\ mgang klei ruă tưp: Ngăn chặn bệnh lây lan.
Mklă (đgt)	Làm rõ.
Mklăk (tt) 	Ngược. Yap mklăk: đếm ngược.
Mklin mguôp (đgt) 	Tổng hợp. 
Mklŏ (đgt) 	Nặn thành cục.
Mkŏ (đgt) 	Lăp
Mkra (đgt) 	1. Làm. Mkra sang: Làm nhà. 
	2. Chế biến. Mkra mnơ\ng [ơ\ng huă: Chế biến thức ăn.
	3. Sửa chữa. Mka êdeh wai jơ\ng: Sửa chữa xe đạp.
Mkrah (dt) 	Một nửa. Mbha mkrah: Chia một nửa.
Mkrah dưh (tt) 	Lỡ dở
Mkriâo (đgt) 	Đăôïn xung quanh gốc để cây chết.
Mkruôp (tt) 	Chăôïn
Mkrum (đgt) 	Hùn lại. Bi mkrum prăk: Hùn tiền. 
Mkua (đgt) 	Chất thêm
Mkuê̆ (dt) 	Tấm. Pruê mkue# kơ mnu\: Cho gà ăn tấm.
Mkuôm (đgt) 	Giành dụm. Mkuôm prăk pioh blei êdeh: Dành dụm tiền để mua xe.
Mkŭm mkăm (tt)	Ngổn ngang. Kyâo joh mku\m mkăm bo\ êlan: Cây đổ ngổn ngang đầy đường.
Mkŭp (đgt) 	1. Vập. Le\ buh mku\p [o# ti gu\: Ngã vập mặt xuống. 
	2. Uoûp. Mku\p ]hiên hlăm ê-i. Uoûp cheôn vào rổ.
Mkưh mkăm (dt)	1. Đống. Mkưh mkăm dhan djuh: Củi cả đống. 
	2. Vô vàn. Bruă adôk mkưh mkăm: Vô vàn công việc.
Mla (dt) 	Ngà. Mla êman: Ngà voi; Ksi ngă ho\ng mla êman: Lược làm băôûng ngà voi.
Mlam (dt) 	Đêm. Krah mlam: đêm khuya.
Mlan (dt) 	1. Tháng. Mlan sa: Tháng giêng.
	2. Mặt trăng. Hruê teh hjan mlan teh không: Trăng quầng trời hạn trăng tán trời mưa.  
Mlang (dt) 	Chim bồ chao. 
Mlăk djŏ (tt)	Truông phóc. Mnah hlô mlăk djo\ ti ai: Băn thuô truông phóc ngay huyệt. 
Mlăng (dt) 	Rau mồng tơi. Pla djam mlăng: Trồng rau mồng tơi.
Mlăp (tt) 	Truông phập. 
Mlâo (dt) 	Lông. Mlâo ală: Lông mày. 
Mlâo muñ kang (dt) 	Râu căôûm. 
Mlei (tt)	Phạm thiêng
Mlê (tt)	Ngồi thư thái. Dôk gu\ mlê ti mdo#: Ngồi thư thái trên ghế.
Mlhuê̆č (tt) 	Ngộ nghĩnh. Hđeh điêt anăn mlhue#]: Em beô ấy rất ngộ nghĩnh. 
Mli (mni) (đgt) 	Khen. 
Mliat (đgt)	Trải ra. Mliat ayûuê ti krah sang: Trải chiếu giữa sàn nhà.
Mlih (đgt) 	Đổi chác. Nao mlih djuh kơ djam: đi đổi củi lấy rau. 
Mliêo (dt)	{uôn Mliêo.
Mliêt (tt)	1. Tiệt
	2. Ráo. Nao êku\t jih mliêt: đi văng ráo cả.
Mlim (đgt)	Ngậm. Mlim [êyû keo\: Ngậm kẹo.
Mlĭng (dt) 	Chim chèo bẻo.
Mloh mlăp (tt) 	Hấp tấp. Mă bruă mloh mlăp: Làm việc hấp tấp.
Mlŏ (dt) 	Cái lọ đựng dế (làm băôûng bầu khô nhỏ căt miệng). Djă mlo\ lir nao [e#] [ưi: đem lọ đựng dế đi bóy chim.
Mlơ̆ng (tt) 	Hài hước. Mlơ\ng êdi mniê anăn: Cô ta thật là hài hước.
Mlô (dt) 	Họ Mlô (người Êđê). 
Mluê (dt)	Bầu khô. (Qủa bầu khô loại to khoeôt miệng dùng để đựng gạo).
Mluĭ (tt) 	No căng. 
Mluk(tt) 	Ngu
Mluk mgu (tt) 	Ngu dốt. Mluk mgu tơl sa boh hră kăn thâo: Ngu dốt đến nỗi một chữ cũng không biết.
Mlum (dt) 	Lang ben. {o# mlum: Mặt lang beng. 
Mlŭn mtah (tt) 	Trần truồng. Dôk mlu\n mtah: eûoù trần truồng.
Mlur mpŭ (tt) 	Nịnh bợ. Thâo mlur mpu\ êdi lah yûu: Anh ta giỏi nịnh bợ. 
Mlưm (đgt) 	Chạm mặt. 
Mlưt (dt) 	Phao câu (nổi lên mặt nước). 
Mmač (tt) 	Quan tâm. Mma] êdi kâo dlăng kơ ih: Tôi thấy anh (nó) tội quá
Mmah (đgt) 	Nhai. Mmah lik: Nhai kyoä; Mmah keo\ kru\p kru\p: Nhai kẹo rào rạo.
Mmai (đgt) 	Nặn.  Mmai lăn ngă boh [i: Nặn đất làm hòn bi.
Mmao (dt) 	Nấm. Mmao adrăng: Nấm rơm; Mmao [lê: Nấm hương; Mmao djhưk: Nấm mèo; Mmao kmrăm: Nấm mối. 
Mmă (đgt)	So sánh.
Mmăt (dt) 	Tối. Di yûu wyøt hma tơl mmăt: Họ về róy đến tối.
Mmăt tĭt (dt) 	Tối mịt. Mlam hjan adiê mmăt tyøt: đêm mưa trời tối mịt.
Mmăt mlam (dt) 	Ban đêm. Hiu hlăp wyøt mmăt mlam: đi chơi về đêm.
Mmiă (đgt) 	Giành. Mmiă do\ adei hlăp: Giành đồ chơi của em; Kdơ\ng mblah ]iăng mmiă wyøt klei êngiê: Kháng chiến để giành độc lập.
Mmih (tt) 	Ngọt. Mmih mse\ si [êyû hra: Ngọt như đường. 
Mmih ƀluč (tt) 	Ngọt lịm. Boh sâo riêng [ơ\ng mmlih [lu]: Qủa sầu riêng ăn ngọt lịm.
Mmĭm (tt) 	Chứa (cán
Mmông (dt) 	Đồng hồ. Mmông kă kngan: đồng hồ đeo tay.
Mmông anei (trgt)	Giờ này
Mmông mtei (dt)	Băp chuối. Reh mmông mtei: Thái băp chuối. 
Mmơr (tt) 	Nhột. Ma] mnu\ rui hlăm asei mmơr êdi: Bọ mạt bò lên người rất nhột.
Mmuiñ (đgt) 	Hát. Mniê anăn mâo đo\k mmuiyû jăk: Cô ấy có giọng hát hay. 
Mmuôn (đgt) 	Nặn. Mmuôn rup kơ hđeh hlăp: Nặn tượng (heãnh) cho trẻ em chơi. 
Mmŭk mmăk (đgt) 	Dứ đầu.
Mmŭt (đgt) 	Nheôt vào.
Mnah (đgt) 	Băn. Mnah phao: Băn suông; Mnah ]yøm: Băn chim; Kliêng mnah : Ngăm băn.
Mnal (dt) 	Vải. Mnal k]oh ]hum ao: Vải may quần áo.
Mnal lăm (dt) 	Giẻ lau.   
Mnang (dt) 	Cau. Boh mnang: Qủa cau. 
Mnă (dt) 	Tù nhân. War mnă: Nhà tù.  
Mnăn (tt)	No.                                                         
Mnăm (đgt) 	Uống. Mnăm êa hdơr kơ hnoh: Uống nước nhớ nguồn.       
Mnâo (dt) 	Mùi. Mnâo đeh kphê mdhư\ dhưr: Mùi rang cà phê nồng nặc; Mnâo [âo bru\: Mùi hôi thối. 
Mnâo mnañ (dt) 	Mùi vị. Tu\k djam hlo\ng amâo mâo mnâo mnayû: Nấu canh không có mùi vị. 
Mneh	1. (dt) Dượng. (tức ama  aneh gọi gọn). 
	2. (đgt) Mneh msao: Cãi nhau.
Mnei (đgt)	Tăm. Bi mnei adei: Tăm cho em; Mnei êa ksyø: Tăm biển. 
Mnê̆č (dt)	Mưu
Mnê̆č blah wang (dt)	Chiến lược (mưu lược chiến tranh).
Mnê̆č hgăm (dt)	Aõm mưu. Mne#] hgăm tăm êdah: aõm mưu bị bại lộ.
Mnêñ (tt) 	Tinh nghịch. Hđeh mne#YÛ: Trẻ tinh nghịch.
Mnga (dt) 	Hoa. Mnga krih: Hoa sen; Pe\ mnga: Hái hoa; Siam mse\ si mnga: đẹp như hoa. 
Mngač (tt) 	Sáng. Adiê Mnga]: Trời sáng; Pui mtrang mnga]: đèn chiếu sáng. 
Mngač bhung (tt) 	Sáng trưng. Pui kmlă mnga] bhung: đèn điện sáng trưng. 
Mngač tač (tt) 	Sáng sủa. Pưk sang mnga] ta]: Nhà cửa sáng sủa. 
Mngah (dt) 	Linh hồn.
Mngal (đgt) 	Trêu ghẹo. Mngal phung hđeh mniê: Trêu ghẹo bạn nữ.
Mngan (dt) 	Cái bát. Hua\ ho\ng mngan: aûn băôûng bát; Mngan djam: Bát canh.
Mngăt (tt) 	Đuối (sức). Djiê mngăt hlăm êa: chết đuối dưới nước.
Mngăt êwa (dt) 	Linh hồn.
Mngưi (tt)	Thơm (mùi). K[u [âo mngưi: Xà phòng thơm. 
Mngưi mngăk (tt)	Thơm lừng.
Mngưñ (đgt) 	Dứ (Làm cho thèm thuồng). Mngưyû [êyû kơ hđeh: Dứ kẹo cho trẻ. 
Mnhar (dt) 	Người ba na.
Mnhat (dt) 	Dùi đục. 
Mnhit mprah (tt) 	Bực bội. Ai tiê Mnhit mprah: Trong lòng bực bội.
Mnhông (tt)	Băôûng (theo chiều dài). Khăt mnhông ho\ng giê dưh: Căt băôûng chiếc đũa.
Mni (đgt)	Khen
Mni m’uăn (đgt)	Khen ngợi. 
Mnia (đgt)	Bán. Nao ]hyø mnia: đi buôn bán. 
Mniă (dt) 	Cái liềm. Wiă mdiê ho\ng mniă: Gặt luôa băôûng liềm.
Mniê (dt) 	Con gái. Kkiêng sa ]ô anak mniê: Sinh một đứa con gái. 
Mnik (bi nik) (đgt)	Làm rõ. Thâo yûu amâo jing nao he
Mnĭ nei (trgt)	Bấy lâu nay. 
Mnĭt (dt)	Phuôt. Sa mmông mâo năm pluh mnyøt: Một giờ có sáu mươi phuôt. 
Mnoh (dt)	Dùi chiêng
Mnông (dt) 	Người mnông. 
Mnơ̆ng (dt) 	Đồ đạc
Mnơ̆ng ƀơ̆ng huă (dt) 	Thực phẩm.
Mnơ̆ng pah mưn (dt)	Phần thưởng. Mnơ\ng pah mưn kơ anak hriăm thâo: Phần thưởng cho con học giỏi.
Mnơ̆ng rông (dt) 	Vật nuôi. Sang rông lu mnơ\ng rông: Nhà nuôi nhiều vật nuôi. 
Mnuai (tt) 	Tương tự.
Mnuh (đgt) 	Huôc. Eùmô mnuh asâo: Bò huôc con chó.
Mnuih (dt) 	Người. Sang lu mnuih: Nhà rất đông người; Mnuih bi ala: Người đại diện. 
Mnuih ƀuôn sang (dt)	Dân làng
Mnuk (bi ênuk)	Cùng một thời điểm. Arăng kkiêng di yûu dua mnuk: Hai đứa sinh cùng lứa tuổi.  
Mnuôr (dt) 	Cống
Mnŭ (dt) 	Con gà. Mnu\ da: Gà queô; Mnu\ dliê: Gà rừng; Mnu\ gôk: Gà lôi; Mnu\ kdjo#: Gà gáy; Mnu\ ngiêk: Gà ri.
Mnŭng (dt) 	Lạt. }ar mnu\ng: Chẻ lạt. 
Mnŭt (ana mnŭt) (dt) 	Cây đa. Ana mnu\t ko\ êa: Cây đa đầu làng.
Mnưh (dt) 	Cái quạt thờ (để trên năp áo quan người chết).
Mnư̆ (dt)	Hàng rào. Koh kram ngă mnư\ Chặt tre làm hàng rào.
Mñak (tt) 	Nhờn (dầu mỡ).
Mñam (đgt) 	1. Đan. Hwiê pioh yua myûam bu\ng: Dây mây dùng để đan gùi. 
	2. Dệt. Phung mniê Êđê khăng pơ\k myûam pin ao: Người phụ nữ Êđê thường dệt thổ cẩm.
Mñah (đgt) 	Loại ra
Mñao (đgt) 	Vò. Myûao djam djă tu\k djam: Vò rau ngót nấu canh.  
Mñă (đgt) 	Gặng
Mñă đŏk (đgt)	Nhấn giọng.
Mñăk mñê (tt) 	Kyoä càng. Mtă myûăk myûê: Dặn kyoä càng.
Mñăl (tt) 	Leã lợm.
Mñĕ (đgt) 	Chuồn
Mñê (đgt) 	1. Kêu
	2. Hót. Nao hlăm kmrơ\ng hmư\ ênai ]yøm myûê mak m’ưr: Vào rừng nghe tiếng chim hót rộn ràng.
Mñê̆č mñao (đgt)	Vò nát. 
Mñir (đgt) 	Dụi. Myûir ală: Dụi măt.
Mñoh (đgt) 	Đụng (tay).
Mñơr (đgt) 	Ngíy. Myûơr [ăng knga: Ngíy lỗ tai.
Mñŭng mñĭng (tt)	Vương vấn. 
Mñŭt (đgt) 	Xô đẩy.
Moh măp (tt)	Cẩu thả. Moh măp đei bi ho\k jih êa ju\: Cẩu thả quá làm đổ hết mực.
Mŏng mit (dt) 	Con đom đóm. Mo\ng mit phiơr hiu êjai mlam: đom đóm bay luôc ban đêm.
M’ô (dt) 	Cây lồ ô. Koh m’ô pioh myûam ê-i: Chặt lồ ô để đan rổ. 
Môk (đgt) 	Tọng. Môk bo\ [ăng êgei: Tọng đầy mồm.
Mô̆(dt) 	Vợ. Găl mo# guôp ung sa] êa krông ăt khuôt mơh: Thuận vợ thuận chồng tát biển đông cũng cạn.
Mơ mơp (tt) 	Sững sờ.
Mơh (trt)	Chứ (để trả lời): Mâo mơh: Có chứ !
Mơh hĕ (trt)	Không (dùng để hỏi). Ih nao mă bruă mơh he\: Anh có đi làm không?
Mơp mơp (tt)	Mòn mỏi. Mơp mơp dôk guôn ama wyøt kơ sang: Chờ bố về nhà mòn mỏi.
Mơ̆ (tht)	Không (tương tự như mơh he\). Ih nao mơ\: Anh có đi không.
Mơ̆ng (lt)	Từ. Nao mơ\ng sang truh kơ anôk mă bruă năng ai 5km: đi từ nhà đến chỗ làm việc khoảng 5km.
Mơ̆ng knuê	Nãy giờ
Mpă	Chia làm bốn. }iă boh krue# mbha mpă: Căt trái cam chia làm bốn. 
Mphơh (đgt)	Vểnh tai.
Mphŭn (dt)	Băt đầu
Mphŭñ (tt) 	Beôo tròn.
Mplĕ (đgt) 	Thả. Mple\ [om: Thả [om; Pe\ boh ksă mple\ hlăm kdhô: Hái trái chín thả vào giỏ. 
Mpliê (đgt) 	Bừa
Mplư (đgt) 	1. Lừa bịp
	2. Nhử mồi. Mplư mnơ\ng kơ kan: Nhử mồi cho cá.
Mpoh (đgt) 	Dập đụng phải.
Mpơt (tt) 	Hói (trán).
Mprăp (đgt)	Săm sửa
Mpruh mprăng (đgt)	Quấy rối. Aáu hriê mpruh mprăng êjai mmông phung hmei dôk huă [ơ\ng: Hăn đến quấy rối trong luôc chuông tôi đang ăn cơm. 
Mpŭ (tt)	Kính trọng. Brei drei thâo mpu\ he\ kơ mnuih mduôn khua: Chuông ta phải biết kính trọng người già cả.
Mpŭ mni (tt)	Tôn vinh. Mnuih knhâo lu mnuih mpu\ mni: Người giỏi được nhiều người tôn vinh. 
Mra (dt) 	Vai. Klam klu\ng ti mra: Vác bao trên vai. 
Mrai (dt) 	(Sợi) chỉ. Ao tloh mrai: Aó đứt chỉ; Mrai jhyøt ao: Chỉ may áo.
Mrač (tt)	Hở  (bụng). 
Mran (dt) 	Thuyền bè. Đyø Mran găn êa krông: đi thuyền qua sông. 
Mrap (tt) 	Dơ dáy. {o# mta êa du\ng s’ayø mrap: Mặt mũi dơ dáy. 
Mră (tt) 	1. Cứng cáp
	2. Chăc. Sang anei sui leh [iă dah ăt dôk kjăp mră: Ngôi nhà này lâu lăm rồi mà vón còn chăc.
Mrâo (tt)	Mới. Mrâo blei ao: Mới mua áo.
Mrâo hin (tt) 	Mới đây. Kâo [uh yûu mrâo hin: Tôi thấy nó mới đây; Ao brei kơ yûu mrâo hin [iă dah tyø leh yơh: Aoûo đưa cho nó mới toanh mà đã rách rồi. 
Mrâo mrang (tt) 	Mới mẻ. Mâo klei mrâo mrang leh ka? Có geã mới mẻ chưa. 
Mring (bi ring) (đgt)	Luân phiên
Mrip mrap (tt) 	Nhớp nhuôa. 
Mrĭm (tt) 	Giận dữ. {o# mta mryøm: Khuôn mặt giận dữ. 
Mrĭng mrit (tt) 	Nheo nhóc.
Mrŏ mrŏ (tt) 	Ru ruô. Grăp hruê mro\ mro\ kơ sang: Suốt ngày cứ ru ruô trong nhà.
Mrô (dt) 	Số. Mrô h’ayø: Số 0; Mrô klah: Số lẻ; Mrô kruôp: Số chăôïn. 
Mruăt (bi ruăt) (đgt)	Hối
Mrŭ mrŭ (tt) 	Giống như mro\ mro\ (phương ngữ). 
Mrŭk mrĭk (tt) 	Xù xeã.
Mrŭñ mrêñ (tt) 	Dữ tợn.
Mrưh (tt) 	Láo xược
Msa (dt) 	Một cây trong bộ khung cửi. 
Msah (tt) 	Eõớt. Adiê hjan msah ao: trời mưa ướt áo.
Msah plô̆(tt)	Eõớt nhẹp. 
Msan (dt) 	Sừng (tê giác). Rông êmeh pioh mă msan: Nuôi tê giác để lấy sừng. 
Msao (đgt) 	Cãi vã. Klei mdjip mdjap snăn bi msao he\ tơl sa hruê mơh: Chuyện vớ vẩn mà cũng cãi vã cả ngày.
Msat (dt) 	Mộ
Msăm	I.(tt) chua. Boh krue# ]êyû bơ\ng msăm: trái chanh ăn chua. 
	Ii. (đgt) đăp. Adiê hlơr amâo guôn msăm abăn ôh. Trời nóng không cần đăp chăn.
Msăm plăk (tt)	Chua lè.
Msăng (bi săng) (đgt) 	Làm cho thấu hiểu.
Msăt (dt) 	Rốn. EYÕ le\ msăt leh ka?: Em beô đã rụng rốn chưa?.H’ô ao êdah msăt: Mặc áo hở rốn. 
Msâo (đgt)	Ngứa. Pe\ êtak mtah msâo kngan: Hái đậu xanh bị ngứa tay.  
Msâo msañ (đgt)	Ngứa ngáy. Mđung mdiê msâo msayû: Rê luôa ngứa ngáy.
Msei (dt) 	Săt. Ngă mnư\ ho\ng msei: Làm hàng rào băôûng săt. 
Msei sđeng (dt) 	Xà beng.  
Msĕ (tt)	Giống. Anak mse\ ho\ng ama: Con giống bố. 
Msĕ nik (tt)  	Giống hệt. Di yûu dua mse\ nik : Hai đứa giống hệt. 
Msĕ si (tt) 	Giống như
Msip msap (tt) 	Luộm thuộm. }u\t h’ô msip msap: aûn mặc luộm thuộm. 
Msir (đgt) 	1. Bít
	2. Dàn xếp. Msir klei mâo dua nah: Dàn xếp việc xích mích hai bên. 
Msir kđi (đgt)	Hị giải. 
Msir nư (đgt)	Trả nợ. Leh jih msir nư  snăn kơh tơ dah lo\ ]iăng ]an: Khi mà trả nợ xong xuôi mới vay lại. 
Msĭn (tt) 	Mặn. Eùa ksyø msyøn: Biển mặn; Dưm hra hlăm djam tơl msyøn: Bỏ muối vào canh quá mặn.
Msô̆(đgt)	Làm cho thấy.
Msuê̆č (tt)	Xinh xăn
Mta (dt)	1. Măt. }ah mta: Nảy mầm.
	2. Lưỡi (dao
	3. Thứ
Mta grăm (tăng tĭt) (dt)	Con bướm ma.
Mtah (tt) 	1. Xanh
	2. Tươi. Kan mtah: Cá tươi.
	3. Sống. Eùsei mtah: cơm sống. 
Mtal myal (tt) 	Tả tơi. 
Mtam (pht)	Ngay (lập tức)
Mtao (dt) 	Vua
Mtao mtŭng (dt)	Vua chuôa.
Mtao muôr (dt) 	Mối chuôa. Hlăm sa ktue# muôr mâo sa mtao muôr. Mỗi gò mối có một con mối chuôa. 
Mtă (đgt)	Dặn. Mtă anak êlâo kơ nao: Dặn con trước luôc ra đi; Mtă ho\ng [ăng êgei: Dặn miệng.   
Mtă mtăn (đgt)	Dặn dò. Mtă kơ anak êlâo kơ nao hriăm kbưi: Dặn dò con trước luôc đi học xa. 
Mtăp (tt)	Băôûng (theo chiều cao). Khăt bi mtăp: Căt băôûng nhau.
Mtăp mđơr (tt)	Công băôûng
Mtâo (dt)	1. Con dâu
	2. Phù thuyoãoã làm hại
Mtei (dt) 	Chuối. Mtei boh [lông: Chuối hột; Mtei pha: Chuối tiêu
Mthâo (đgt) 	Cho biết
Mthĭm (đgt)	Chẹn
Mthu (đgt) 	Làm cho khô (phơi khô). Mthu ]yøm hlô rang: Làm khô (phơi khô) thịt nai.  
Mthưr (đgt) 	Gọi với
Mtian (dt)	Có bụng
Mtih 	I. (dt)phên
	Ii. (tt)trăng. Mniê anăn siam
Mting (đgt) 	Gheô vào
Mting mtuang (tt) 	Chăôûng chịt. Hruh wăk wai mting mtuang: Mạng nhện chăôûng chịt; Klei mje\ mgiăm mting mtuang: Những mối liên quan chăôûng chịt.
Mting mtung (tt) 	Cheãnh eãnh.  
Mtir (đgt)	Dính vào nhau. Mtei mtir: Chuối dính liền nhau.
Mtĭl (dt) 	Cái tô (Làm băôûng đồng
Mtĭl mtuăl (tt) 	Bận rộn. Bruă mtyøl mtuăl: Bận rộn công việc. 
Mtlai (đgt) 	Trộn
Mtlai mtlăk (đgt) 	Pha trộn.
Mtlaih (đgt) 	Giải phóng. Hruê 10 mlan 3 thu\n 1975 jing hruê bi mtlaih {uôn Ma Thuột: Ngày 10/3/1975 là ngày giải phóng Buôn Ma Thuột; Mtlaih mơ\ng hlu\n mnă klo\ng ktư\ juă: Giải phóng khỏi ách áp bức nô lệ.
Mtlăm (đgt)	Giấu (tật xấu). 
Mtlâo (đgt)	Chia làm 3. }iă boh krue# mbha mtlâo: Căt trái cam chia làm ba. 
Mtloh (đgt)	Dứt
Mtluôn (đgt)	Về phía sau (quay lại). Wơr byøt đuôn lo\ wyøt mtluôn mă đuôn : Quên mũ quay về lại lấy mũ.
Mtŏ (đgt)	Dí. Mto\ phao: Dí suông; Phung kne\ mto\ dho\ng ]iăng tle\ mă mnơ\ng: Kẻ trộm dí dao để ăn căp đồ.
Mtiŏ (đgt) 	Đua
Mtô (đgt)	Dạy
Mtô mblang (đgt)	Giảng dạy. Mtô mblang kơ yûu brei yûu thâo săng: Giảng dạy cho nó để nó am hiểu.
Mtô mjuăt (đgt)	Tập luyện
Mtơl (đgt)	Làm cho thấy. 
Mtrang (đgt)	1. Soi. Djă pui nao mtrang ajyøk: Cầm đèn đi soi ếch. 
	2. Rọi. Pui êdeh mtrang ti ală: Aoûnh đèn rọi vào măt. 
Mtroh mƀal (đgt)	Nói đại. 
Mtruh (đgt)	Đưa tin
Mtrŭn (đgt)	Đưa xuống
Mtrŭn amung (tt)	Xịu. Arăng ăl
Mtrŭt (đgt)	Thuôc eôp.
Mtrŭt mjhar (đgt)	Khuyến khích
Mtrưm (đgt)	Đín mò.
Mtrưm đaŏ (đgt)	Phán đín. {uê mjâo duah mtrưm mđao\: Thầy bói phán đín mò.
Mtuh (đgt)	1. Nổ. Min mtuh: Meãn nổ.
	2. Bị phồng. Blah djuh mtuh kngan: Bửa củi bị phồng tay. 
Mtuh bhuč (đgt)	Nổ bùm. 
Mtuh mtưh (tt)	Nghênh ngang.  
Mtuč (asâo)(đgt) 	Xua (chó) đuổi. Mtu] asâo ke\ hlô: Xua chó đuổi thuô. 
Mtun (tt)	No căng. Leh huă mnăm êa trei mtun: aûn xong rồi uống nước no căng. 
Mtung (tt)	Khểnh. Đih mtung: Năôûm khểnh.
Mtuôm (bi tuôm) (đgt)	Gặp nhau. Hmei mtuôm ti anôk bi k]ah: Chuông tôi gặp nhau nơi điểm hẹn; Hmei mtuôm lu bliư\ leh: Chuông tôi gặp nhau nhiều lần rồi.
Mtuôp (đgt)	Chăp. H’ô ao mtuôp m[lir: Mặc áo chăp vá; Mtuôp anôk tyø: Chăp chỗ bị rách.
Mtŭ (dt) 	Ngôi sao. Mtu\ tu\r: Sao mai; Mtu\ triah: Sao hôm.
Mtŭk (đgt) 	Ho. Mâo klei mtu\k: Bị ho; Mnăm êa drao mtu\k: Uống thuốc ho.
Mtŭk hnak (đgt) 	Ho lao.
Mtŭk mtŭl (tt)	Tuôi bụi
Mtưp (đgt)	Làm lây
Mu (dt)	Mũ
Muê ktơr (dt)	Râu ngô. 
M’uê (đgt) 	Aoûm khói
Muk muk (tt)	Nhồm nhịm. Huă muk muk: aûn nhồm nhịm. 
Mung (dt) 	Tên của một loại chiêng.
Mung mang (tt)	Rỗi rãi. Dôk mung mang: Ngồi rỗi rãi.
Muôr (dt) 	Mối.  Muôr riă hră m’ar: Mối xông sách vở.  
Mur (đgt) 	Khoeôt sâu. 
Mŭm (đgt) 	Mớm. Mu\m êsei kơ e\: Mớm cơm cho beô. 
Mŭn (dt) 	Mụn. Mu\n đuh bo\ [o#:  Mụn nổi đầy mặt.
Mŭng (dt) 	Màn. Pyøt kă mu\ng: Ngủ cột màn. 
M’ŭng (tt) 	Chiều chuộng. M’u\ng đei anăn anak măk: Chiều chuộng quá con hư.
Mŭñ mê̆ñ (tt) 	Lấm lem.
Mŭr êdeh (dt)	Mui xe. Mdiăng ti mu\r êdeh: Chở trên mui xe. 
Mŭr măr (tt)	Hớt hải. Ti nao mu\r mă: đi đâu mà hớt hải. 
Mŭt (đgt) 	Vào. Mu\t sang: Vào nhà.  
Mưč (tt)	Khinh. 
Mưč chưč (đgt)	Chê bai. Lu mnuih yăl dliê mư] ]hư] kơ yûu dôk dơ\ng amâo jăk: Dư luận chê bai anh ta xử sự không kheôo.   
Mưč mač (đgt)	Khinh bỉ. Mta mnuih arăng mư] ma]: Loại người đáng khinh bỉ.
Mưm (tt) 	Gần (Tận măt).  
Mưn (đgt) 	Thuê
Mưng (đgt)	Quen. Mưng kgu\ ưm: Quen dậy sớm; Mưng ho\ng angyøn adiê: Quen với khí hậu.
Mwa (dt) 	Kyoå đà.  
Mwaih (dt) 	Một lịi cây dương xỉ.
Mya (dt) 	Cá sấu. Rông mya: Nuôi cá sấu. 
Myang (tt) 	Thiêng. Dliê myang: đất thiêng; Klei ih blu\ myang êdi: Lời anh nói thiêng thật. 
Myap (đgt)	Tính kyoä.
Myah myal (tt) 	Tả tơi. }u\t ]hum ao myah myal: Mặc quần áo tả tơi. 
Myăl (đgt)	Vào chuyện. 
Myâo (tt)	Ngịi miệng nói tốt nhưng trong lòng không phải như thế.
Myŏng myưl (tt)	Bêu rếu. 
Myông (đgt)	Đùn đẩy
Myơr (đgt)  	Dâng
Myơ̆ng (đgt) 	Rồ (làm cho quay tít). Myơ\ng myơ\ng: Rồ xe.
Myui (tt)	Aõm u. Adiê hruê anei myui: hôm nay trời âm u.
Myuĭ (tt)	Mỉa mai.
Myun (tt)	May măn
Myuôl (yuôl) (đgt)	Treo lên. 
Myuôm (đgt) 	Nâng giá
Myuôm klei boh (tt) 	Làm to chuyện.
Myŭ (dt)	Theo hướng tây. Đih ko\ myu\: Năôûm đầu theo hướng tây.
Myưh m’ang (tt) 	Vênh váo.
Myư̆ myơ̆ng (tt)	Cuồn cuộn. Eùa đoh myư\ myơ\ng: Nước chảy cuồn cuộn. 
	 
N	 
	 
Nač (đgt)	Ganh tị. Mâo ai tiê na]: Tính hay ganh tị.
Nač iăng (đgt) 	Ghen gheôt
Nah (dt) 	Phía
Nah pŏk (dt)	Một nửa. Blah kơ kâo sa nah po\k: Căt cho tôi một nửa.
Nai (dt)	Giáo viên. Amyø kâo ngă nai: Mẹ tôi làm giáo viên.
Nai kai (dt)	Cán bộ công chức. 
Naih (tt)	Hiếm hoi. 
Nao (đgt)	Đi. Aguah anei kâo nao sang ]ơ: sáng nay tôi đi chợ.
Nanao (pht)	Thường xuyên
Nă (đt) 	Đấy.
Năm (dt)	Sáu. Năm boh k]ok: Sáu cái ly. 
Năng (tt) 	Xứng đáng. Năng dưi pu\ mni: Xứng đáng được khen thưởng.
Năng ai (pht)	Có lẽ
Năt (dt) 	Con xeã (con at trong bộ bài tuô lơ khơ).
Nĕ (đt)	Này
Ngai (tt)	Làm ngơ. {uh kâo ngă he\ ngai: Thấy tôi làm ngơ.
Ngai mang 	 Làm lơ như không hề quen biết. 
Ngak kkuê (đgt) 	 Ngửa cổ.
Ngañ (tt)	Eøuïn.  Ngayû mse\ anôk dôk mnia: eøuïn như chợ. 
Ngañ bañ (tt)	Eøuïn ào. Eùnai êdeh ngayû bayû: tiếng xe ồn ào.
Ngap ngap(tt)	(Năng) Chang chang. Adiê mđiă ngap ngap: Trời năng chang chang. 
Ngă (đgt)	Làm
Ngă ƀĭng găp (đgt)	Kết bạn. 
Ngă yang(đgt) 	Cuông Giàng. Ngă yang kơ asei mlei: Cuông yàng cầu mong sức khoẻ.
